run,throughput,p50,p95,p99,duration_s
1,1522.53,0.7952,1.0534,1.2927,13.1360
2,1507.36,0.7831,1.0769,2.0023,13.2682
3,1489.90,0.8283,1.1323,1.5987,13.4237
4,1913.28,0.6325,0.8324,0.9492,10.4533
5,1445.74,0.8370,1.1153,1.3376,13.8337
